name,employees,technical_density,stage,domain,engineers,location,industry,founded_year,faang_alumni,patent_holders,pattern_match,pattern_match_score,success_probability
AIAnalytics,64,72,Seed,techtechnologies.tech,46.0,Seattle,Security,2016.0,3.0,0.0,Uber Ops-Heavy,71.0,65.6
CloudSolutions,4007,64,Series C,ailabs.cloud,2564.0,Seattle,Healthcare,2019.0,19.0,5.0,Airbnb Balanced,87.0,50.2
MetaLabs,44,33,Seed,smartsystems.data,14.0,NYC,Fintech,2017.0,2.0,0.0,Uber Ops-Heavy,89.0,28.400000000000002
MetaVentures,83,65,Series A,quantumworks.data,53.0,SF Bay Area,Developer Tools,2023.0,4.0,2.0,Facebook Social,95.0,57.0
QuantumDynamics,10,71,Seed,dataventures.ai,7.0,Austin,Security,2018.0,1.0,0.0,Airbnb Balanced,91.0,55.800000000000004
QuantumDynamics,83,61,Seed,techlabs.io,50.0,LA,Security,2022.0,0.0,0.0,Uber Ops-Heavy,79.0,52.800000000000004
CloudAnalytics,64,69,Seed,cloudanalytics.io,44.0,LA,AI/ML,2019.0,0.0,2.0,Deep Tech R&D,93.0,65.2
AIVentures,60,71,Series A,dataworks.io,42.0,NYC,Developer Tools,2016.0,1.0,1.0,Enterprise B2B,86.0,60.800000000000004
MetaSystems,99,32,Series A,quantumworks.ai,31.0,Austin,B2B SaaS,2016.0,1.0,0.0,Airbnb Balanced,76.0,24.6
NeuralLabs,27,29,Seed,deepsystems.app,7.0,Seattle,E-commerce,2018.0,2.0,0.0,Deep Tech R&D,69.0,26.200000000000003
CloudWorks,211,31,Series A,deepventures.tech,65.0,Austin,AI/ML,2017.0,7.0,0.0,Airbnb Balanced,85.0,16.8
TechAnalytics,86,74,Series A,aisolutions.data,63.0,Austin,AI/ML,2015.0,3.0,3.0,Facebook Social,68.0,56.2
TechDynamics,86,58,Seed,nextsystems.app,49.0,Boston,Developer Tools,2020.0,8.0,0.0,Deep Tech R&D,70.0,51.400000000000006
TechAnalytics,108,29,Series C,ailabs.io,31.0,Austin,Healthcare,2019.0,10.0,0.0,Deep Tech R&D,81.0,26.200000000000003
NeuralSystems,61,65,Seed,smartworks.tech,39.0,SF Bay Area,Healthcare,2018.0,6.0,1.0,Enterprise B2B,75.0,54.0
MetaSolutions,93,44,Seed,techsolutions.io,40.0,Austin,B2B SaaS,2022.0,9.0,0.0,Enterprise B2B,66.0,34.2
CloudLabs,189,25,Series A,cloudtechnologies.tech,47.0,Boston,Healthcare,2019.0,5.0,0.0,Airbnb Balanced,69.0,18.0
SmartWorks,115,52,Series B,smartworks.app,59.0,Austin,Healthcare,2020.0,0.0,0.0,Facebook Social,92.0,49.6
DataWorks,30,74,Series A,ailabs.io,22.0,SF Bay Area,Fintech,2015.0,3.0,1.0,Facebook Social,94.0,53.2
NextSolutions,14,39,Series A,metadynamics.tech,5.0,SF Bay Area,Healthcare,2020.0,0.0,0.0,Enterprise B2B,86.0,22.200000000000003
DataTechnologies,76,50,Seed,smartanalytics.tech,38.0,SF Bay Area,Healthcare,2022.0,0.0,0.0,Airbnb Balanced,71.0,39.0
NextTechnologies,48,54,Seed,aisolutions.ai,25.0,SF Bay Area,Developer Tools,2015.0,1.0,0.0,Enterprise B2B,76.0,53.2
MetaAnalytics,3244,73,Series C,datasolutions.cloud,2368.0,NYC,Developer Tools,2022.0,30.0,1.0,Uber Ops-Heavy,87.0,56.400000000000006
NextTechnologies,39,69,Series A,dataworks.cloud,26.0,NYC,E-commerce,2021.0,0.0,0.0,Facebook Social,86.0,49.2
NextDynamics,43,50,Series A,quantumanalytics.ai,21.0,SF Bay Area,Fintech,2017.0,4.0,0.0,Early Stripe DNA,69.0,33.0
DataDynamics,69,51,Series A,aitechnologies.tech,35.0,Austin,AI/ML,2016.0,0.0,0.0,Uber Ops-Heavy,90.0,39.800000000000004
CloudWorks,120,45,Series A,aidynamics.app,54.0,Boston,B2B SaaS,2019.0,4.0,0.0,Uber Ops-Heavy,65.0,38.0
QuantumWorks,381,31,Series A,cloudworks.io,118.0,SF Bay Area,Security,2018.0,4.0,0.0,Uber Ops-Heavy,91.0,26.8
DeepAnalytics,90,62,Seed,datalabs.io,55.0,NYC,E-commerce,2022.0,2.0,0.0,Airbnb Balanced,68.0,40.6
MetaTechnologies,393,71,Series B,techventures.data,279.0,Austin,Fintech,2020.0,6.0,5.0,Airbnb Balanced,73.0,60.800000000000004
SmartTechnologies,417,40,Series C,metatechnologies.io,166.0,SF Bay Area,AI/ML,2021.0,4.0,0.0,Facebook Social,71.0,42.0
TechVentures,422,75,Series C,nexttechnologies.cloud,316.0,Austin,AI/ML,2023.0,10.0,12.0,Airbnb Balanced,70.0,50.0
SmartLabs,38,74,Seed,quantumdynamics.dev,28.0,Boston,Fintech,2017.0,0.0,0.0,Deep Tech R&D,72.0,57.2
MetaDynamics,17,61,Seed,cloudsystems.ai,10.0,Boston,AI/ML,2020.0,0.0,0.0,Enterprise B2B,83.0,42.800000000000004
SmartSystems,34,59,Series A,quantumlabs.io,20.0,SF Bay Area,Fintech,2018.0,0.0,0.0,Enterprise B2B,80.0,37.2
NextSystems,88,33,Seed,nextlabs.io,29.0,NYC,Healthcare,2017.0,1.0,0.0,Enterprise B2B,92.0,27.400000000000002
DataDynamics,439,62,Series B,smartdynamics.ai,272.0,NYC,E-commerce,2021.0,25.0,15.0,Deep Tech R&D,75.0,44.6
DeepSystems,414,39,Series B,metaanalytics.data,161.0,LA,AI/ML,2017.0,5.0,0.0,Deep Tech R&D,65.0,39.2
DeepDynamics,82,36,Seed,deepsolutions.data,29.0,Boston,B2B SaaS,2022.0,2.0,0.0,Airbnb Balanced,88.0,20.8
DataDynamics,50,65,Seed,quantumlabs.tech,32.0,NYC,Fintech,2016.0,2.0,1.0,Early Stripe DNA,88.0,42.0
MetaTechnologies,66,35,Series A,metadynamics.cloud,23.0,Austin,B2B SaaS,2022.0,6.0,0.0,Enterprise B2B,85.0,25.0
TechDynamics,19,43,Seed,smartworks.io,8.0,Seattle,Fintech,2021.0,0.0,0.0,Deep Tech R&D,67.0,41.4
QuantumLabs,3268,74,Late Stage,metasystems.cloud,2418.0,Austin,Fintech,2015.0,3.0,10.0,Uber Ops-Heavy,71.0,62.2
SmartAnalytics,473,41,Series C,aiworks.io,193.0,Austin,Healthcare,2023.0,26.0,0.0,Facebook Social,69.0,23.800000000000004
DeepTechnologies,64,43,Seed,aiworks.io,27.0,NYC,Fintech,2019.0,0.0,0.0,Facebook Social,92.0,27.4
SmartWorks,60,56,Series A,neuralventures.ai,33.0,Seattle,Developer Tools,2020.0,1.0,0.0,Facebook Social,66.0,42.800000000000004
DeepLabs,43,42,Seed,cloudworks.io,18.0,LA,AI/ML,2023.0,3.0,0.0,Enterprise B2B,72.0,40.6
QuantumSolutions,59,59,Series A,quantumanalytics.io,34.0,Austin,Security,2015.0,4.0,0.0,Enterprise B2B,93.0,53.2
QuantumSystems,417,32,Series A,cloudsolutions.dev,133.0,NYC,Fintech,2015.0,13.0,0.0,Early Stripe DNA,86.0,28.6
SmartDynamics,90,63,Seed,dataworks.app,56.0,Boston,Developer Tools,2023.0,5.0,2.0,Enterprise B2B,79.0,40.400000000000006
MetaSystems,367,32,Series B,cloudworks.io,117.0,Boston,Security,2016.0,25.0,0.0,Airbnb Balanced,92.0,32.6
QuantumTechnologies,2663,66,Series D,techsystems.tech,1757.0,Austin,Fintech,2021.0,1.0,12.0,Airbnb Balanced,87.0,49.800000000000004
TechDynamics,70,48,Series A,smartanalytics.tech,33.0,Austin,Security,2016.0,3.0,0.0,Uber Ops-Heavy,74.0,42.400000000000006
DataSolutions,473,63,Series B,quantumsolutions.dev,297.0,Austin,E-commerce,2022.0,24.0,11.0,Early Stripe DNA,81.0,45.400000000000006
NeuralLabs,100,33,Series A,cloudsolutions.dev,33.0,NYC,Security,2015.0,3.0,0.0,Early Stripe DNA,79.0,17.400000000000002
NeuralVentures,240,54,Series B,datalabs.ai,129.0,Seattle,Developer Tools,2022.0,5.0,0.0,Facebook Social,83.0,50.2
DataAnalytics,30,72,Series A,techventures.io,21.0,NYC,Security,2018.0,1.0,0.0,Deep Tech R&D,71.0,55.6
QuantumSystems,499,25,Series C,cloudlabs.ai,124.0,Seattle,Healthcare,2019.0,22.0,0.0,Deep Tech R&D,85.0,18.0
SmartSolutions,58,54,Series A,quantumanalytics.data,31.0,Boston,Security,2021.0,4.0,0.0,Early Stripe DNA,65.0,49.2
DeepAnalytics,3565,75,Late Stage,smartworks.app,2673.0,SF Bay Area,AI/ML,2019.0,20.0,10.0,Airbnb Balanced,73.0,70.0
NeuralSolutions,2947,34,Series C,techventures.data,1001.0,Seattle,E-commerce,2017.0,23.0,0.0,Early Stripe DNA,85.0,32.2
TechSolutions,314,49,Series B,nextsolutions.data,153.0,Boston,E-commerce,2022.0,29.0,0.0,Deep Tech R&D,76.0,45.2
DataTechnologies,31,43,Seed,cloudanalytics.data,13.0,Boston,Security,2017.0,2.0,0.0,Deep Tech R&D,67.0,31.4
NextDynamics,49,75,Series A,smartanalytics.app,36.0,SF Bay Area,Developer Tools,2015.0,4.0,2.0,Enterprise B2B,67.0,65.0
SmartVentures,448,58,Series B,techsystems.ai,259.0,NYC,AI/ML,2021.0,18.0,0.0,Facebook Social,69.0,46.400000000000006
CloudDynamics,141,46,Series B,techlabs.app,64.0,Seattle,Fintech,2017.0,9.0,0.0,Uber Ops-Heavy,80.0,28.800000000000004
MetaTechnologies,65,50,Series A,metalabs.io,32.0,Boston,Fintech,2020.0,0.0,0.0,Airbnb Balanced,89.0,46.0
AISolutions,96,65,Seed,nextanalytics.ai,62.0,SF Bay Area,Developer Tools,2023.0,9.0,2.0,Uber Ops-Heavy,67.0,43.0
NeuralDynamics,47,71,Series A,metasystems.tech,33.0,Austin,AI/ML,2018.0,1.0,1.0,Early Stripe DNA,72.0,53.800000000000004
NeuralSystems,475,62,Series A,datadynamics.data,294.0,LA,Security,2015.0,12.0,8.0,Enterprise B2B,84.0,40.6
TechLabs,16,66,Seed,dataventures.app,10.0,Austin,B2B SaaS,2023.0,1.0,0.0,Deep Tech R&D,69.0,48.800000000000004
DataAnalytics,254,67,Series B,deepsystems.app,170.0,SF Bay Area,Healthcare,2016.0,9.0,1.0,Early Stripe DNA,80.0,49.6
MetaAnalytics,367,47,Series A,cloudlabs.cloud,172.0,Austin,Fintech,2022.0,10.0,0.0,Uber Ops-Heavy,65.0,27.6
NeuralWorks,4547,30,Series C,dataanalytics.data,1364.0,NYC,Developer Tools,2019.0,8.0,0.0,Facebook Social,66.0,17.0
NextVentures,2880,68,Series D,dataworks.dev,1958.0,SF Bay Area,B2B SaaS,2017.0,21.0,5.0,Airbnb Balanced,76.0,58.400000000000006
NextSystems,475,48,Series A,dataventures.app,228.0,Austin,AI/ML,2021.0,22.0,0.0,Facebook Social,90.0,41.400000000000006
TechSystems,157,69,Series A,dataventures.cloud,108.0,Austin,Security,2022.0,5.0,6.0,Airbnb Balanced,84.0,45.2
DataVentures,1570,56,Series D,quantumlabs.io,879.0,Seattle,E-commerce,2020.0,0.0,0.0,Deep Tech R&D,92.0,50.800000000000004
NextWorks,389,67,Series A,metasolutions.app,260.0,Seattle,E-commerce,2021.0,4.0,1.0,Early Stripe DNA,85.0,48.6
DataTechnologies,70,35,Series A,nextsolutions.tech,24.0,Seattle,B2B SaaS,2023.0,3.0,0.0,Enterprise B2B,85.0,30.0
QuantumTechnologies,40,54,Seed,datatechnologies.app,21.0,Seattle,B2B SaaS,2022.0,0.0,0.0,Early Stripe DNA,77.0,46.2
DeepAnalytics,80,30,Seed,neuralsolutions.data,24.0,LA,Developer Tools,2020.0,5.0,0.0,Early Stripe DNA,91.0,21.0
QuantumDynamics,492,63,Series C,quantumworks.io,309.0,LA,Fintech,2015.0,10.0,11.0,Deep Tech R&D,95.0,49.400000000000006
CloudTechnologies,57,27,Seed,cloudventures.io,15.0,Seattle,Healthcare,2018.0,1.0,0.0,Early Stripe DNA,94.0,23.6
MetaLabs,34,31,Series A,deepworks.dev,10.0,Austin,Developer Tools,2023.0,1.0,0.0,Facebook Social,65.0,30.8
NeuralSystems,321,55,Series C,deepsystems.data,176.0,NYC,B2B SaaS,2021.0,21.0,0.0,Enterprise B2B,84.0,44.0
AIAnalytics,59,63,Series A,metadynamics.tech,37.0,Austin,Security,2017.0,1.0,1.0,Enterprise B2B,87.0,56.400000000000006
NeuralSolutions,99,70,Series A,aisolutions.cloud,69.0,LA,AI/ML,2020.0,2.0,1.0,Enterprise B2B,82.0,66.0
QuantumVentures,24,60,Series A,neuralanalytics.dev,14.0,Austin,Security,2015.0,2.0,0.0,Early Stripe DNA,65.0,50.0
SmartSystems,95,37,Seed,smartanalytics.ai,35.0,SF Bay Area,E-commerce,2019.0,3.0,0.0,Enterprise B2B,66.0,30.6
AIVentures,445,60,Series C,aianalytics.data,267.0,LA,B2B SaaS,2021.0,12.0,0.0,Facebook Social,95.0,48.0
DeepTechnologies,480,37,Series B,aidynamics.dev,177.0,Boston,Healthcare,2018.0,24.0,0.0,Deep Tech R&D,95.0,25.6
CloudWorks,32,36,Seed,metalabs.app,11.0,Seattle,Healthcare,2019.0,1.0,0.0,Uber Ops-Heavy,83.0,26.8
CloudDynamics,69,27,Seed,deeplabs.dev,18.0,LA,Healthcare,2019.0,3.0,0.0,Enterprise B2B,82.0,22.6
AISystems,100,58,Series A,neuralworks.dev,58.0,Boston,Fintech,2021.0,8.0,0.0,Enterprise B2B,77.0,38.400000000000006
NextAnalytics,37,46,Series A,aitechnologies.cloud,17.0,LA,B2B SaaS,2016.0,2.0,0.0,Facebook Social,72.0,46.800000000000004
MetaWorks,120,45,Series C,metaanalytics.cloud,54.0,LA,AI/ML,2015.0,8.0,0.0,Airbnb Balanced,81.0,42.0
AIDynamics,15,66,Series A,neuralworks.io,9.0,NYC,Security,2023.0,0.0,0.0,Uber Ops-Heavy,86.0,62.800000000000004
NeuralVentures,3975,38,Series C,datasystems.io,1510.0,Austin,E-commerce,2020.0,1.0,0.0,Early Stripe DNA,67.0,21.400000000000002
AIAnalytics,42,61,Seed,metaventures.app,25.0,LA,Developer Tools,2021.0,2.0,0.0,Facebook Social,86.0,41.800000000000004
DeepLabs,92,73,Seed,datadynamics.cloud,67.0,SF Bay Area,AI/ML,2019.0,9.0,0.0,Airbnb Balanced,89.0,62.400000000000006
CloudSolutions,94,55,Seed,cloudventures.dev,51.0,Boston,AI/ML,2017.0,4.0,0.0,Deep Tech R&D,93.0,54.0
TechLabs,11,32,Seed,deepventures.cloud,3.0,Boston,B2B SaaS,2019.0,0.0,0.0,Deep Tech R&D,88.0,26.6
CloudSolutions,92,35,Seed,deepanalytics.ai,32.0,SF Bay Area,Fintech,2015.0,8.0,0.0,Facebook Social,85.0,35.0
DataSolutions,95,41,Seed,deeptechnologies.tech,38.0,Seattle,Fintech,2018.0,1.0,0.0,Airbnb Balanced,84.0,24.800000000000004
SmartSystems,330,64,Series B,deepdynamics.dev,211.0,Seattle,Developer Tools,2017.0,0.0,10.0,Uber Ops-Heavy,90.0,48.2
NextTechnologies,241,33,Series B,quantumtechnologies.tech,79.0,Seattle,Developer Tools,2023.0,3.0,0.0,Uber Ops-Heavy,85.0,35.400000000000006
AIAnalytics,45,59,Seed,dataworks.io,26.0,Boston,E-commerce,2015.0,4.0,0.0,Enterprise B2B,77.0,55.2
NeuralTechnologies,14,59,Series A,clouddynamics.app,8.0,NYC,Security,2019.0,0.0,0.0,Facebook Social,81.0,53.2
AISystems,56,67,Seed,neuralsystems.app,37.0,NYC,Fintech,2017.0,5.0,2.0,Facebook Social,95.0,54.6
SmartDynamics,72,29,Seed,ailabs.data,20.0,NYC,Healthcare,2020.0,6.0,0.0,Facebook Social,94.0,27.200000000000003
NeuralAnalytics,432,31,Series B,smartsystems.app,133.0,LA,Developer Tools,2020.0,18.0,0.0,Deep Tech R&D,93.0,16.8
MetaDynamics,58,58,Seed,nexttechnologies.dev,33.0,Austin,Healthcare,2015.0,4.0,0.0,Uber Ops-Heavy,79.0,41.400000000000006
CloudSystems,75,38,Series A,clouddynamics.cloud,28.0,LA,Security,2016.0,3.0,0.0,Facebook Social,90.0,30.400000000000002
DeepSystems,345,38,Series B,metalabs.ai,131.0,SF Bay Area,Fintech,2017.0,4.0,0.0,Deep Tech R&D,81.0,21.400000000000002
NeuralVentures,185,36,Series B,deeplabs.data,66.0,LA,E-commerce,2019.0,2.0,0.0,Uber Ops-Heavy,79.0,37.8
DeepSystems,1897,51,Series C,deepsystems.cloud,967.0,LA,Healthcare,2019.0,5.0,0.0,Deep Tech R&D,86.0,40.800000000000004
MetaSystems,135,49,Series A,datalabs.ai,66.0,Boston,Security,2023.0,10.0,0.0,Facebook Social,91.0,33.2
NeuralWorks,414,27,Series C,datatechnologies.data,111.0,NYC,Healthcare,2023.0,26.0,0.0,Early Stripe DNA,93.0,31.6
NeuralVentures,63,27,Series A,aitechnologies.dev,17.0,Austin,AI/ML,2016.0,3.0,0.0,Uber Ops-Heavy,73.0,26.6
NeuralVentures,1186,63,Series D,smartsolutions.io,747.0,LA,E-commerce,2015.0,18.0,3.0,Enterprise B2B,65.0,52.400000000000006
DataSystems,261,48,Series B,metaanalytics.tech,125.0,Boston,Developer Tools,2020.0,19.0,0.0,Airbnb Balanced,86.0,40.400000000000006
NextTechnologies,385,36,Series B,smartanalytics.cloud,138.0,Seattle,Security,2021.0,23.0,0.0,Uber Ops-Heavy,92.0,21.8
AIVentures,458,31,Series A,nextlabs.ai,141.0,Austin,E-commerce,2015.0,25.0,0.0,Early Stripe DNA,91.0,18.8
DataAnalytics,86,30,Series A,aidynamics.io,25.0,Boston,B2B SaaS,2021.0,6.0,0.0,Enterprise B2B,85.0,30.0
CloudTechnologies,86,74,Seed,quantumlabs.ai,63.0,LA,Security,2023.0,4.0,1.0,Early Stripe DNA,90.0,68.2
CloudLabs,99,64,Seed,nextsolutions.data,63.0,SF Bay Area,Fintech,2016.0,4.0,3.0,Airbnb Balanced,86.0,53.2
DataWorks,35,72,Seed,neuralanalytics.data,25.0,Boston,Healthcare,2020.0,2.0,1.0,Uber Ops-Heavy,84.0,53.6
CloudVentures,61,41,Seed,neuralworks.cloud,25.0,SF Bay Area,Healthcare,2019.0,2.0,0.0,Early Stripe DNA,90.0,38.800000000000004
MetaTechnologies,2549,69,Late Stage,aidynamics.dev,1758.0,Austin,E-commerce,2022.0,28.0,0.0,Facebook Social,68.0,53.2
AIDynamics,91,68,Seed,metadynamics.cloud,61.0,Boston,B2B SaaS,2019.0,3.0,2.0,Early Stripe DNA,77.0,54.400000000000006
NextSolutions,32,45,Series A,deepanalytics.ai,14.0,LA,E-commerce,2018.0,3.0,0.0,Deep Tech R&D,71.0,33.0
AIDynamics,2193,37,Series C,cloudworks.io,811.0,SF Bay Area,E-commerce,2022.0,19.0,0.0,Early Stripe DNA,89.0,36.6
QuantumAnalytics,290,45,Series C,quantumsystems.dev,130.0,Boston,AI/ML,2021.0,7.0,0.0,Enterprise B2B,69.0,27.0
TechDynamics,64,59,Series A,metasystems.app,37.0,SF Bay Area,E-commerce,2023.0,3.0,0.0,Airbnb Balanced,87.0,37.2
DataDynamics,36,62,Series A,nextanalytics.ai,22.0,Boston,AI/ML,2018.0,2.0,1.0,Enterprise B2B,75.0,50.6
NextDynamics,64,51,Seed,metaanalytics.app,32.0,NYC,Healthcare,2017.0,4.0,0.0,Deep Tech R&D,72.0,33.800000000000004
AISystems,384,49,Series B,cloudtechnologies.dev,188.0,SF Bay Area,Fintech,2021.0,15.0,0.0,Uber Ops-Heavy,93.0,49.2
SmartLabs,50,44,Series A,metaworks.data,22.0,NYC,B2B SaaS,2018.0,2.0,0.0,Facebook Social,91.0,45.2
NextAnalytics,52,48,Series A,nextlabs.app,24.0,SF Bay Area,AI/ML,2018.0,4.0,0.0,Enterprise B2B,85.0,48.400000000000006
NeuralTechnologies,46,45,Series A,quantumworks.app,20.0,Boston,AI/ML,2022.0,1.0,0.0,Uber Ops-Heavy,85.0,36.0
DataSystems,88,29,Series A,nextsolutions.tech,25.0,Seattle,E-commerce,2019.0,4.0,0.0,Enterprise B2B,85.0,25.200000000000003
DeepTechnologies,66,72,Series A,metasystems.ai,47.0,SF Bay Area,Fintech,2018.0,5.0,2.0,Deep Tech R&D,87.0,49.6
DataTechnologies,60,31,Seed,neurallabs.io,18.0,Austin,Healthcare,2016.0,0.0,0.0,Airbnb Balanced,84.0,18.8
AIAnalytics,59,39,Series A,quantumsystems.ai,23.0,Boston,Security,2017.0,0.0,0.0,Early Stripe DNA,86.0,32.2
SmartTechnologies,343,59,Series B,cloudsystems.cloud,202.0,Boston,Developer Tools,2021.0,16.0,0.0,Deep Tech R&D,85.0,54.2
AIWorks,54,59,Series A,quantumanalytics.tech,31.0,Austin,AI/ML,2017.0,2.0,0.0,Early Stripe DNA,65.0,53.2
NeuralLabs,276,55,Series B,quantumtechnologies.tech,151.0,SF Bay Area,Security,2021.0,25.0,0.0,Airbnb Balanced,84.0,41.0
MetaVentures,196,60,Series B,aisystems.data,117.0,LA,E-commerce,2021.0,12.0,0.0,Uber Ops-Heavy,73.0,40.0
NeuralAnalytics,40,43,Series A,metasolutions.dev,17.0,SF Bay Area,Fintech,2017.0,2.0,0.0,Early Stripe DNA,85.0,38.4
NextLabs,418,37,Series B,cloudlabs.cloud,154.0,SF Bay Area,Fintech,2016.0,9.0,0.0,Airbnb Balanced,69.0,33.6
AIDynamics,177,56,Series A,metaanalytics.dev,99.0,Austin,AI/ML,2022.0,1.0,0.0,Airbnb Balanced,67.0,38.800000000000004
QuantumSystems,60,59,Seed,aianalytics.dev,35.0,Austin,Security,2015.0,0.0,0.0,Deep Tech R&D,72.0,49.2
QuantumWorks,477,37,Series A,neuralsolutions.app,176.0,Austin,E-commerce,2019.0,29.0,0.0,Airbnb Balanced,70.0,39.6
SmartTechnologies,381,32,Series C,smartsolutions.tech,121.0,SF Bay Area,Security,2018.0,3.0,0.0,Uber Ops-Heavy,85.0,28.6
DataVentures,31,62,Series A,ailabs.io,19.0,Boston,Security,2022.0,1.0,1.0,Early Stripe DNA,72.0,44.6
TechLabs,97,73,Series A,nextsystems.data,70.0,Boston,Security,2016.0,2.0,3.0,Uber Ops-Heavy,75.0,65.4
TechVentures,324,37,Series C,nextsystems.tech,119.0,SF Bay Area,Developer Tools,2022.0,17.0,0.0,Airbnb Balanced,82.0,34.6
QuantumAnalytics,33,45,Series A,deepsystems.io,14.0,Boston,Fintech,2022.0,2.0,0.0,Airbnb Balanced,82.0,37.0
CloudLabs,91,71,Series A,deepdynamics.dev,64.0,Boston,Fintech,2020.0,1.0,4.0,Facebook Social,71.0,62.800000000000004
NextVentures,178,43,Series C,nextworks.io,76.0,Boston,E-commerce,2016.0,1.0,0.0,Uber Ops-Heavy,70.0,25.4
TechVentures,72,31,Seed,quantumanalytics.io,22.0,Seattle,Fintech,2016.0,0.0,0.0,Uber Ops-Heavy,85.0,29.8
NextVentures,339,28,Series C,nextlabs.dev,94.0,Boston,AI/ML,2023.0,1.0,0.0,Deep Tech R&D,67.0,21.400000000000002
AIVentures,37,31,Seed,aisolutions.cloud,11.0,LA,Fintech,2017.0,3.0,0.0,Deep Tech R&D,68.0,34.8
MetaWorks,96,69,Series A,cloudsystems.cloud,66.0,Austin,Healthcare,2020.0,2.0,4.0,Enterprise B2B,79.0,56.2
MetaDynamics,266,51,Series B,deepsolutions.cloud,135.0,Boston,Fintech,2021.0,24.0,0.0,Enterprise B2B,94.0,38.800000000000004
TechLabs,67,50,Series A,smartlabs.cloud,33.0,NYC,AI/ML,2015.0,2.0,0.0,Uber Ops-Heavy,71.0,40.0
NeuralSystems,98,60,Series A,datalabs.app,58.0,Seattle,Fintech,2017.0,4.0,0.0,Airbnb Balanced,93.0,56.0
DeepVentures,42,30,Series A,deepsolutions.data,12.0,SF Bay Area,E-commerce,2020.0,3.0,0.0,Uber Ops-Heavy,80.0,32.0
DeepVentures,428,27,Series B,datalabs.dev,115.0,Seattle,AI/ML,2021.0,13.0,0.0,Early Stripe DNA,92.0,18.6
MetaLabs,105,74,Series C,smartlabs.tech,77.0,Boston,Healthcare,2017.0,5.0,4.0,Deep Tech R&D,72.0,53.2
DeepWorks,60,73,Series A,aiventures.tech,43.0,Austin,Fintech,2017.0,2.0,0.0,Facebook Social,83.0,49.400000000000006
NeuralVentures,43,50,Seed,cloudsystems.app,21.0,Boston,Fintech,2022.0,3.0,0.0,Deep Tech R&D,83.0,36.0
DataAnalytics,77,40,Seed,metadynamics.data,30.0,Boston,B2B SaaS,2016.0,6.0,0.0,Facebook Social,76.0,33.0
SmartSystems,54,74,Seed,nexttechnologies.cloud,39.0,NYC,Developer Tools,2015.0,1.0,0.0,Deep Tech R&D,76.0,53.2
AISystems,1420,56,Late Stage,smartlabs.tech,795.0,LA,Security,2016.0,9.0,0.0,Facebook Social,80.0,34.800000000000004
NeuralAnalytics,78,38,Seed,neuraltechnologies.cloud,29.0,LA,Fintech,2015.0,6.0,0.0,Enterprise B2B,93.0,36.400000000000006
AIAnalytics,31,43,Seed,techtechnologies.data,13.0,SF Bay Area,B2B SaaS,2021.0,2.0,0.0,Deep Tech R&D,92.0,35.4
MetaWorks,432,39,Series B,nexttechnologies.dev,168.0,Boston,Healthcare,2016.0,5.0,0.0,Uber Ops-Heavy,81.0,35.2
NeuralAnalytics,12,40,Seed,nexttechnologies.app,4.0,LA,Fintech,2015.0,1.0,0.0,Deep Tech R&D,76.0,33.0
SmartVentures,356,28,Series B,techanalytics.ai,99.0,NYC,AI/ML,2021.0,21.0,0.0,Uber Ops-Heavy,67.0,24.400000000000002
AISystems,96,51,Seed,metaanalytics.cloud,48.0,Seattle,Developer Tools,2023.0,2.0,0.0,Uber Ops-Heavy,85.0,34.800000000000004
SmartSystems,97,33,Seed,metasystems.data,32.0,Boston,Fintech,2020.0,1.0,0.0,Enterprise B2B,82.0,19.400000000000002
NextVentures,28,73,Seed,metaanalytics.app,20.0,LA,Security,2019.0,0.0,0.0,Early Stripe DNA,69.0,53.400000000000006
DeepSolutions,88,63,Series A,deepsolutions.ai,55.0,LA,B2B SaaS,2020.0,1.0,3.0,Uber Ops-Heavy,81.0,59.400000000000006
MetaTechnologies,93,36,Series A,quantumsystems.ai,33.0,NYC,Fintech,2015.0,6.0,0.0,Early Stripe DNA,94.0,26.8
AIWorks,443,73,Series A,cloudtechnologies.dev,323.0,Boston,Developer Tools,2020.0,27.0,14.0,Uber Ops-Heavy,78.0,60.400000000000006
MetaLabs,294,45,Series C,neuralworks.app,132.0,Austin,Security,2015.0,28.0,0.0,Uber Ops-Heavy,81.0,43.0
TechSolutions,15,58,Series A,smarttechnologies.app,8.0,Seattle,Security,2019.0,1.0,0.0,Uber Ops-Heavy,78.0,45.400000000000006
QuantumWorks,364,54,Series A,neuralworks.ai,196.0,Boston,E-commerce,2023.0,4.0,0.0,Facebook Social,78.0,43.2
AITechnologies,32,62,Series A,dataanalytics.tech,19.0,LA,E-commerce,2017.0,0.0,0.0,Early Stripe DNA,87.0,53.6
NeuralSystems,462,71,Series B,metaventures.io,328.0,NYC,AI/ML,2017.0,5.0,4.0,Uber Ops-Heavy,89.0,47.800000000000004
CloudWorks,49,43,Series A,cloudsolutions.io,21.0,Boston,Security,2019.0,0.0,0.0,Facebook Social,80.0,39.4
AITechnologies,10,40,Series A,quantumventures.app,4.0,SF Bay Area,Healthcare,2015.0,0.0,0.0,Enterprise B2B,73.0,41.0
CloudLabs,206,36,Series A,nextlabs.ai,74.0,SF Bay Area,E-commerce,2019.0,10.0,0.0,Early Stripe DNA,66.0,21.8
SmartSystems,32,68,Seed,quantumdynamics.io,21.0,SF Bay Area,Security,2019.0,2.0,1.0,Facebook Social,91.0,46.400000000000006
